FID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
2657,306519,UNKNOWN306519,INGRAM,TX,78028,SUBSTATION,IN SERVICE,KERR,30.079737,-99.210228,3,138,69,N,N
2660,306528,UNKNOWN306528,POINT COMFORT,TX,77979,SUBSTATION,IN SERVICE,CALHOUN,28.673816,-96.558118,2,138,69,N,N
3904,309910,UNKNOWN309910,SNYDER,TX,79549,SUBSTATION,NOT AVAILABLE,SCURRY,32.728515,-101.023576,0,115,13.8,Y,Y
2661,306535,UNKNOWN306535,LITTLEFIELD,TX,79339,SUBSTATION,NOT AVAILABLE,LAMB,33.912462,-102.301968,1,138,-999999,Y,N
2662,306538,UNKNOWN306538,CHILDRESS,TX,79201,SUBSTATION,IN SERVICE,CHILDRESS,34.419467,-100.227041,5,138,115,N,N
3907,309917,GRAHAM,POST,TX,79356,SUBSTATION,IN SERVICE,GARZA,33.186702,-101.407918,4,115,69,N,N
3047,306541,UNKNOWN306541,SUNSET,TX,76270,SUBSTATION,IN SERVICE,WISE,33.371351,-97.886532,2,138,138,N,Y
5018,306544,UNKNOWN306544,BRENHAM,TX,77833,SUBSTATION,IN SERVICE,WASHINGTON,30.278027,-96.327306,2,138,69,Y,Y
2666,306551,UNKNOWN306551,FORSAN,TX,79739,SUBSTATION,IN SERVICE,GLASSCOCK,32.086292,-101.275487,4,138,69,N,N
3911,309923,UNKNOWN309923,GLEN ROSE,TX,76043,SUBSTATION,NOT AVAILABLE,SOMERVELL,32.23183,-97.754772,1,69,-999999,Y,N
2667,306553,UNKNOWN306553,TYLER,TX,75703,SUBSTATION,IN SERVICE,SMITH,32.279857,-95.34644,8,345,69,N,N
2672,306562,UNKNOWN306562,ROGERS,TX,76569,SUBSTATION,IN SERVICE,MILAM,30.919248,-97.201277,2,345,69,Y,Y
